Model,MSE (×10^-3),RMSE (×10^-2),MAE (×10^-2),MAPE,Parameters
"KAN widths=(8, 8) grid=2 n_basis=6",10149.611405283213,318.58454773079023,182.98542767763138,70.85127738714218,6089
"KAN widths=(8, 8) grid=2 n_basis=8",12734.97108221054,356.8609124324285,188.52134823799133,71.24231650531291,6521
"KAN widths=(8, 8) grid=2 n_basis=10",14572.464169561863,381.7389706273367,195.77890038490295,80.3660931058228,6953
"KAN widths=(8, 8) grid=6 n_basis=6",1043.3220084756613,102.14313527964869,68.28972801566124,17.388017849624156,7977
"KAN widths=(8, 8) grid=6 n_basis=8",9741.12149849534,312.1076977342171,165.99714800715446,50.44858690723777,8537
"KAN widths=(8, 8) grid=6 n_basis=10",46275.81790685654,680.2633159803381,354.7847405076027,137.1402829684317,9097
"KAN widths=(8, 8) grid=8 n_basis=6",3691.8958889320493,192.1430688037445,95.45987896621227,38.85878602340817,8921
"KAN widths=(8, 8) grid=8 n_basis=8",1914.8435143753886,138.37787086002547,68.50023046135902,23.133673109859227,9545
"KAN widths=(8, 8) grid=8 n_basis=10",6998.366844654083,264.5442655710776,121.75082236528397,45.668538718670604,10169
"KAN widths=(16, 16) grid=2 n_basis=6",2090.1972383260727,144.57514441722245,86.72957196831703,20.903177911415696,15241
"KAN widths=(16, 16) grid=2 n_basis=8",3906.705603376031,197.65387937948577,112.90007025003432,30.126218255609274,16089
"KAN widths=(16, 16) grid=2 n_basis=10",3067.0041501522064,175.12864272163495,102.82188922166824,28.032560021802784,16937
"KAN widths=(16, 16) grid=6 n_basis=6",6134.885138273239,247.68700285386873,134.9223718047142,53.54701844900846,19945
"KAN widths=(16, 16) grid=6 n_basis=8",1424.271023273468,119.34282648209185,65.89096166193485,22.388416009396316,21049
"KAN widths=(16, 16) grid=6 n_basis=10",5398.950777202845,232.35642399561164,127.90164917707443,35.7951150149107,22153
"KAN widths=(16, 16) grid=8 n_basis=6",1652.8352726250887,128.56264125417962,69.20202419161797,22.532788156718016,22297
"KAN widths=(16, 16) grid=8 n_basis=8",1813.6875288560987,134.67321667117403,70.29718607664108,20.90163168683648,23529
"KAN widths=(16, 16) grid=8 n_basis=10",1743.2128697633743,132.0307869310554,70.11663399636745,16.571113060973584,24761
"KAN widths=(32, 32) grid=2 n_basis=6",1486.3960165530443,121.91784186709688,63.656891211867325,14.54034980237484,43529
"KAN widths=(32, 32) grid=2 n_basis=8",1250.6682799663395,111.83328127021667,63.33247717469931,10.746876383200288,45209
"KAN widths=(32, 32) grid=2 n_basis=10",1355.0550364889205,116.40683126384468,62.95224644243718,13.317608547955752,46889
"KAN widths=(32, 32) grid=6 n_basis=6",1703.1426446512341,130.50450738006077,69.68088492751122,21.91288446020335,56937
"KAN widths=(32, 32) grid=6 n_basis=8",889.962526736781,94.33782522068128,48.14889047294855,11.42557417228818,59129
"KAN widths=(32, 32) grid=6 n_basis=10",1070.6698514521122,103.47317775404949,53.402453511953354,19.105116682313383,61321
"KAN widths=(32, 32) grid=8 n_basis=6",788.111664634198,88.7756534548858,49.45080939680338,13.399771755933761,63641
"KAN widths=(32, 32) grid=8 n_basis=8",905.3155953530222,95.14807382984809,48.927762024104595,17.48955816105008,66089
"KAN widths=(32, 32) grid=8 n_basis=10",705.9069961309433,84.01827159201403,45.225470662117004,9.971461250726133,68537
